ID_VIV,ID_HOG,ID_PER,ID_DEL,UPM,VIV_SEL,HOGAR,BPCOD,R_SEL,SEXO,EDAD,AREAM_OCU,BP1_1,BP1_2C,FAC_DEL,FAC_DEL_AM
206374.01,0206374.01.01,0206374.01.01.02,0206374.01.01.02.07.1,206374,1,1,7,2,2,43,21,2,2,1043,1043
208069.18,0208069.18.01,0208069.18.01.02,0208069.18.01.02.08.1,208069,18,1,8,2,2,29,21,11,2,1078,1078
208098.11,0208098.11.01,0208098.11.01.01,0208098.11.01.01.01.1,208098,11,1,1,1,1,43,21,2,2,377,377
204439.03,0204439.03.01,0204439.03.01.08,0204439.03.01.08.01.1,204439,3,1,1,8,1,30,21,2,2,345,345
208189.03,0208189.03.01,0208189.03.01.01,0208189.03.01.01.09.1,208189,3,1,9,1,2,32,21,5,2,542,542
206361.04,0206361.04.01,0206361.04.01.01,0206361.04.01.01.03.1,206361,4,1,3,1,1,45,21,6,2,404,404
204529.01,0204529.01.01,0204529.01.01.02,0204529.01.01.02.10.1,204529,1,1,10,2,2,33,21,3,2,948,948
207325.05,0207325.05.01,0207325.05.01.01,0207325.05.01.01.05.1,207325,5,1,5,1,1,23,21,3,2,1107,1107
206373.01,0206373.01.01,0206373.01.01.02,0206373.01.01.02.05.1,206373,1,1,5,2,2,30,21,8,2,693,693
205346.02,0205346.02.01,0205346.02.01.01,0205346.02.01.01.07.1,205346,2,1,7,1,1,48,21,7,2,346,346
206366.04,0206366.04.01,0206366.04.01.01,0206366.04.01.01.03.1,206366,4,1,3,1,1,28,21,12,2,351,351
206361.04,0206361.04.01,0206361.04.01.01,0206361.04.01.01.03.2,206361,4,1,3,1,1,45,21,6,2,404,404
208069.16,0208069.16.01,0208069.16.01.03,0208069.16.01.03.05.1,208069,16,1,5,3,1,18,21,11,2,1617,1617
206686.03,0206686.03.01,0206686.03.01.02,0206686.03.01.02.05.1,206686,3,1,5,2,2,33,21,3,2,974,974
203605.01,0203605.01.01,0203605.01.01.01,0203605.01.01.01.09.1,203605,1,1,9,1,1,64,21,2,2,381,381
204667.02,0204667.02.01,0204667.02.01.01,0204667.02.01.01.03.1,204667,2,1,3,1,1,42,21,6,2,248,248
208069.11,0208069.11.01,0208069.11.01.01,0208069.11.01.01.01.1,208069,11,1,1,1,2,49,21,11,2,539,539
204534.04,0204534.04.01,0204534.04.01.03,0204534.04.01.03.02.1,204534,4,1,2,3,1,19,21,5,2,371,371
